Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
45	183	0	0.512851	1.68221845	0.958732305	0.0570711646	1.68221845	0.911977726	0	0	0	0	0	3
46	186	0	0.524247689	1.6840503	0.995709104	0.0788088164	1.6840503	0.938269779	0	0	0	0	0	3
47	189	0	0.535644377	1.68886783	1.03230135	0.100595524	1.68886783	0.964072979	0	0	0	0	0	3
48	192	0	0.547041066	1.69366858	1.06850756	0.123703606	1.69366858	0.989184139	0	0	0	0	0	3
49	196	0	0.558437755	1.69937258	1.10431822	0.158356996	1.69937258	1.01182253	0	0	0	0	0	3
50	199	0	0.569834444	1.70275022	1.13941806	0.194983129	1.70275022	1.03228132	0	0	0	0	0	3
51	202	0	0.581231133	1.70689044	1.17377959	0.231898636	1.70689044	1.05104761	0	0	0	0	0	3
52	206	0	0.592627822	1.70877769	1.20734503	0.269395541	1.70877769	1.06831709	0	0	0	0	0	3
53	210	0	0.604024511	1.70909568	1.24006549	0.306341765	1.70909568	1.08430617	0	0	0	0	0	3
54	213	0	0.6154212	1.70971272	1.27196028	0.35880761	1.70971272	1.09774203	0	0	0	0	0	3
55	216	0	0.626817889	1.70778235	1.3026188	0.409032557	1.70971272	1.10883268	0	0	0	0	0	3
56	219	0	0.638214577	1.70739219	1.33212697	0.458945498	1.70971272	1.11794398	0	0	0	0	0	3
57	222	0	0.649611266	1.70628136	1.36047551	0.505610091	1.70971272	1.1254763	0	0	0	0	0	3
58	224	0	0.661007955	1.704575	1.38772471	0.550083599	1.70971272	1.13171988	0	0	0	0	0	3
59	227	0	0.672404644	1.70220737	1.41390935	0.610410565	1.70971272	1.09930216	0	0	0	0	0	3
60	230	0	0.683801333	1.69923061	1.43865526	0.665950523	1.70971272	1.0437622	0	0	0	0	0	3
61	295	0	0.695198022	1.69600696	1.46206563	0.717121629	1.70971272	0.992591095	0	0	0	0	0	3
62	298	0	0.706594711	1.69203996	1.48422286	0.765444977	1.70971272	0.944267747	0	0	0	0	0	3
63	302	0	0.7179914	1.68686216	1.50516416	0.809632293	1.70971272	0.900080431	0	0	0	0	0	3
64	305	0	0.729388088	1.68440891	1.52504545	0.870838871	1.70971272	0.838873854	0	0	0	0	0	3
65	308	0	0.740784777	1.68026684	1.54344154	0.92684866	1.70971272	0.782864064	0	0	0	0	0	3
66	311	0	0.752181466	1.67521932	1.56044997	0.978286682	1.70971272	0.731426042	0	0	0	0	0	3
67	314	0	0.763578155	1.674073	1.57626329	1.02599552	1.70971272	0.6837172	0	0	0	0	0	3
68	317	0	0.774974844	1.67157219	1.59093549	1.07000707	1.70971272	0.63970565	0	0	0	0	0	3
69	320	0	0.786371533	1.66764095	1.60451808	1.13165191	1.70971272	0.578060817	0	0	0	0	0	3
70	323	0	0.797768222	1.66824972	1.61671348	1.18520011	1.70971272	0.524512612	0	0	0	0	0	3
71	325	0	0.809164911	1.66606462	1.62764222	1.23435132	1.70971272	0.475361408	0	0	0	0	0	3
72	328	0	0.820561599	1.66534942	1.63743763	1.27946884	1.70971272	0.43024388	0	0	0	0	0	3
73	331	0	0.831958288	1.66534239	1.64620748	1.32033698	1.70971272	0.38937574	0	0	0	0	0	3
74	334	0	0.843354977	1.66588847	1.65406093	1.37602105	1.70971272	0.333691675	0	0	0	0	0	3
75	338	0	0.854751666	1.66572939	1.66064521	1.42419351	1.70971272	0.285519215	0	0	0	0	0	3
76	342	0	0.866148355	1.6673589	1.66617169	1.4646048	1.70971272	0.245107926	0	0	0	0	0	3
77	345	0	0.877545044	1.66689372	1.67076917	1.49909615	1.70971272	0.210616573	0	0	0	0	0	3
78	348	0	0.888941733	1.66675415	1.67457958	1.53157387	1.70971272	0.178138853	0	0	0	0	0	3
79	352	0	0.900338422	1.66573669	1.67762873	1.57113338	1.70971272	0.138579349	0	0	0	0	0	3
80	356	0	0.911735111	1.66597015	1.67978411	1.60198003	1.70971272	0.107732699	0	0	0	0	0	3
81	360	0	0.923131799	1.66308431	1.68117285	1.62689879	1.70971272	0.0828139326	0	0	0	0	0	3
82	363	0	0.934528488	1.66372864	1.68200989	1.64647752	1.70971272	0.0632352025	0	0	0	0	0	3
83	367	0	0.945925177	1.66139752	1.68234898	1.65997785	1.70971272	0.049734874	0	0	0	0	0	3
84	370	0	0.957321866	1.65936421	1.68233503	1.65936421	1.70971272	0.0503485105	0	0	0	0	0	3
85	374	0	0.968718555	1.65951513	1.68206088	1.65936421	1.70971272	0.0503485105	0	0	0	0	0	3
86	377	0	0.980115244	1.65829498	1.68165055	1.65829498	1.70971272	0.0514177426	0	0	0	0	0	3
87	381	0	0.991511933	1.65684292	1.68116033	1.65684292	1.70971272	0.0528698076	0	0	0	0	0	3
88	385	0	1.00290862	1.65643532	1.68065828	1.65643532	1.70971272	0.0532774075	0.0489271172	0	0	0	0	3
89	389	0	1.01430531	1.65650999	1.680074	1.65643532	1.70971272	0.0532774075	0.0489271172	0	0	0	0	3
90	392	0	1.025702	1.65434007	1.67939876	1.65434007	1.70971272	0.0553726536	0.0489271172	0	0	0	0	3
91	395	0	1.03709869	1.65477198	1.67862386	1.65434007	1.70971272	0.0553726536	0.0489271172	0	0	0	0	3
92	398	0	1.04849538	1.65275517	1.67769401	1.65275517	1.70971272	0.0569575557	0.0489271172	0	0	0	0	3
93	401	0	1.05989207	1.65170256	1.6766106	1.65170256	1.70971272	0.058010163	0.0489271172	0	0	0	0	3
94	404	0	1.07128875	1.65125217	1.67544019	1.65125217	1.70971272	0.0584605576	0.0489271172	0	0	0	0	3
95	407	0	1.08268544	1.65025565	1.67415303	1.65025565	1.70971272	0.0594570791	0.0489271172	0	0	0	0	3
96	410	0	1.09408213	1.64899759	1.6727944	1.64899759	1.70971272	0.0607151369	0.0489271172	0	0	0	0	3
97	413	0	1.10547882	1.64955954	1.6714413	1.64899759	1.70971272	0.0607151369	0.0489271172	0	0	0	0	3
98	414	0	1.11687551	1.64910801	1.67006392	1.64899759	1.70778235	0.0587847635	0.0489271172	0	0	0	0	3
99	417	0	1.1282722	1.64872461	1.6687217	1.64872461	1.70739219	0.0586675837	0.0489271172	0	0	0	0	3
100	419	0	1.13966889	1.64747156	1.66735987	1.64747156	1.70628136	0.0588097998	0.0489271172	0	0	0	0	3
101	422	0	1.15106558	1.64658584	1.66600315	1.64658584	1.704575	0.0579891584	0.0489271172	0	0	0	0	3
102	424	0	1.16246227	1.64446093	1.66463692	1.64446093	1.70220737	0.0577464425	0.0489271172	0	0	0	0	3
103	430	0	1.17385895	1.64502107	1.66333723	1.64446093	1.69923061	0.0547696792	0.0489271172	0	0	0	0	3
104	432	0	1.18525564	1.64368549	1.66207484	1.64368549	1.69600696	0.0523214668	0.0489271172	0	0	0	0	3
105	436	0	1.19665233	1.64271473	1.66086366	1.64271473	1.69203996	0.0493252349	0.0489271172	0	0	0	0	3
106	439	0	1.20804902	1.64148571	1.6597147	1.64148571	1.68686216	0.0453764429	0.0489271172	0	0	0	0	3
107	443	0	1.21944571	1.64051116	1.65866127	1.64051116	1.68440891	0.0438977501	0.0489271172	0	0	0	0	3
108	447	0	1.2308424	1.63828982	1.6576131	1.63828982	1.68026684	0.0419770251	0.0489271172	0	0	0	0	3
109	450	0	1.24223909	1.63834399	1.65666031	1.63828982	1.67521932	0.0369294985	0.0489271172	0	0	0	0	3
110	454	0	1.25363578	1.63715288	1.65579517	1.63715288	1.674073	0.036920117	0.0489271172	0	0	0	0	3
111	457	0	1.26503247	1.63649063	1.65494102	1.63649063	1.67157219	0.0350815604	0.0489271172	0	0	0	0	3
112	460	0	1.27642915	1.63507613	1.65411157	1.63507613	1.66824972	0.033173586	0.0489271172	0	0	0	0	3
113	463	0	1.28782584	1.63477324	1.65336457	1.63477324	1.66824972	0.0334764821	0.0489271172	0	0	0	0	3
114	466	0	1.29922253	1.63236065	1.65254891	1.63236065	1.6673589	0.03499825	0.0489271172	0	0	0	0	3
115	470	0	1.31061922	1.63218145	1.65177884	1.63218145	1.6673589	0.0351774502	0.0489271172	0	0	0	0	3
116	473	0	1.32201591	1.63183144	1.65101707	1.63183144	1.6673589	0.0355274602	0.0489271172	0	0	0	0	3
117	477	0	1.3334126	1.63122729	1.65024172	1.63122729	1.6673589	0.0321072565	0.0489271172	0	0	0	0	3
118	481	0	1.34480929	1.63182724	1.64946761	1.63122729	1.6673589	0.0328813753	0.0489271172	0	0	0	0	3
119	484	0	1.35620598	1.63218756	1.64870529	1.63122729	1.6673589	0.0336436897	0.0489271172	0	0	0	0	3
120	487	0	1.36760267	1.63166834	1.64789414	1.63122729	1.66689372	0.0344548388	0.0489271172	0	0	0	0	3
121	490	0	1.37899935	1.63284501	1.64712031	1.63122729	1.66675415	0.0352286732	0.0489271172	0	0	0	0	3
122	493	0	1.39039604	1.63259328	1.64634392	1.63122729	1.66597015	0.034742861	0.0489271172	0	0	0	0	3
123	496	0	1.40179273	1.63278765	1.64559508	1.63122729	1.66597015	0.034742861	0.0489271172	0	0	0	0	3
124	499	0	1.41318942	1.63272725	1.64483956	1.63122729	1.66372864	0.0325013459	0.0489271172	0	0	0	0	3
125	502	0	1.42458611	1.6329391	1.64415444	1.63122729	1.66372864	0.0325013459	0.0489271172	0	0	0	0	3
126	505	0	1.4359828	1.63205116	1.6434345	1.63122729	1.66139752	0.0301702277	0.0489271172	0	0	0	0	3
127	508	0	1.44737949	1.63333671	1.64279676	1.63122729	1.65951513	0.028287836	0.0489271172	0	0	0	0	3
128	511	0	1.45877618	1.63254682	1.64218727	1.63122729	1.65951513	0.028287836	0.0489271172	0	0	0	0	3
129	514	0	1.47017287	1.63169116	1.64155491	1.63122729	1.65829498	0.0270676901	0.0489271172	0	0	0	0	3
130	517	0	1.48156955	1.63166189	1.64094961	1.63122729	1.65684292	0.0256156251	0.0489271172	0	0	0	0	3
131	521	0	1.49296624	1.63192615	1.64038332	1.63122729	1.65650999	0.0252827021	0.0489271172	0	0	0	0	3
132	524	0	1.50436293	1.63087667	1.63980244	1.63087667	1.65650999	0.025633326	0.0489271172	0	0	0	0	3
133	527	0	1.51575962	1.63215146	1.63924884	1.63087667	1.65477198	0.0238953141	0.0489271172	0	0	0	0	3
134	530	0	1.52715631	1.63196654	1.63874035	1.63087667	1.65477198	0.0238953141	0.0489271172	0	0	0	0	3
135	533	0	1.538553	1.63125244	1.63820581	1.63087667	1.65275517	0.0218785009	0.0489271172	0	0	0	0	3
136	536	0	1.54994969	1.63158267	1.63772462	1.63087667	1.65170256	0.0208258936	0.0489271172	0	0	0	0	3
137	539	0	1.56134638	1.63154668	1.63726653	1.63087667	1.65125217	0.020375499	0.0489271172	0	0	0	0	3
138	543	0	1.57274307	1.63105639	1.63680754	1.63087667	1.65025565	0.0193789775	0.0489271172	0	0	0	0	3
139	546	0	1.58413975	1.63246554	1.63640322	1.63087667	1.64955954	0.0186828768	0.0489271172	0	0	0	0	3
140	549	0	1.59553644	1.63201519	1.63601725	1.63087667	1.64955954	0.0186828768	0.0489271172	0	0	0	0	3
141	552	0	1.60693313	1.63125602	1.63560126	1.63087667	1.64910801	0.0182313425	0.0489271172	0	0	0	0	3
142	555	0	1.61832982	1.63083984	1.63518608	1.63083984	1.64872461	0.0178847737	0.0489271172	0	0	0	0	3
143	558	0	1.62972651	1.63154989	1.63479574	1.63083984	1.64747156	0.016631726	0.0489271172	0	0	0	0	3
144	561	0	1.6411232	1.62966117	1.63439096	1.62966117	1.64658584	0.0169246688	0.0489271172	0	0	0	0	3
145	564	0	1.65251989	1.6306393	1.63402854	1.62966117	1.64502107	0.0153599018	0.0489271172	0	0	0	0	3
146	567	0	1.66391658	1.62932032	1.63368443	1.62932032	1.64502107	0.0157007553	0.0489271172	0	0	0	0	3
147	570	0	1.67531327	1.62854962	1.63331008	1.62854962	1.64368549	0.0151358729	0.0489271172	0	0	0	0	3
148	574	0	1.68670995	1.6276161	1.63294487	1.6276161	1.64271473	0.0150986221	0.0489271172	0	0	0	0	3
149	577	0	1.69810664	1.6281114	1.63261298	1.6276161	1.64148571	0.0138696087	0.0489271172	0	0	0	0	3
150	580	0	1.70950333	1.62684884	1.63228032	1.62684884	1.64051116	0.0136623195	0.0489271172	0	0	0	0	3
151	583	0	1.72090002	1.62751363	1.63198492	1.62684884	1.63834399	0.011495147	0.0489271172	0	0	0	0	3
152	586	0	1.73229671	1.62712776	1.63173124	1.62684884	1.63834399	0.011495147	0.0489271172	0	0	0	0	3
153	589	0	1.7436934	1.62642535	1.63146036	1.62642535	1.63715288	0.0107275328	0.0489271172	0	0	0	0	3
154	592	0	1.75509009	1.62632234	1.63121421	1.62632234	1.63649063	0.0101682935	0.0489271172	0	0	0	0	3
155	595	0	1.76648678	1.62769564	1.63101433	1.62632234	1.63507613	0.00875379424	0.0489271172	0	0	0	0	3
156	598	0	1.77788347	1.62643415	1.63081792	1.62632234	1.63477324	0.00845089812	0.0489271172	0	0	0	0	3
157	601	0	1.78928015	1.62864781	1.6306787	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
158	605	0	1.80067684	1.62864807	1.63059433	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
159	608	0	1.81207353	1.62873017	1.63051589	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
160	611	0	1.82347022	1.62900877	1.63045174	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
161	614	0	1.83486691	1.62993824	1.63042244	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
162	617	0	1.8462636	1.62928082	1.63036457	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
163	620	0	1.85766029	1.63065743	1.63032979	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
164	623	0	1.86905698	1.63042516	1.63030154	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
165	626	0	1.88045367	1.62920832	1.63021888	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
166	629	0	1.89185035	1.62930612	1.63014418	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
167	633	0	1.90324704	1.62921543	1.63006299	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
168	636	0	1.91464373	1.62862409	1.62996974	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
169	639	0	1.92604042	1.6293388	1.62988791	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
170	642	0	1.93743711	1.62859526	1.62980937	1.62632234	1.63333671	0.00701437009	0.0489271172	0	0	0	0	3
171	645	0	1.9488338	1.62776088	1.62968264	1.62632234	1.63254682	0.00622447794	0.0489271172	0	0	0	0	3
172	648	0	1.96023049	1.62799102	1.6295791	1.62632234	1.63246554	0.00614319898	0.0489271172	0	0	0	0	3
173	651	0	1.97162718	1.62792402	1.62949349	1.62632234	1.63246554	0.00614319898	0.0489271172	0	0	0	0	3
174	654	0	1.98302387	1.62735996	1.62939571	1.62632234	1.63246554	0.00614319898	0.0489271172	0	0	0	0	3
175	657	0	1.99442055	1.62817056	1.62931036	1.62632234	1.63246554	0.00614319898	0.0489271172	0	0	0	0	3
176	660	0	2.00581724	1.6272284	1.62922745	1.62632234	1.63246554	0.00614319898	0.0489271172	0	0	0	0	3
177	663	0	2.01721393	1.6263465	1.62909551	1.62632234	1.63246554	0.00614319898	0.0489271172	0	0	0	0	3
178	666	0	2.02861062	1.62695038	1.62898151	1.62632234	1.63246554	0.00614319898	0.0489271172	0	0	0	0	3
179	669	0	2.04000731	1.62672277	1.62887856	1.62632234	1.63246554	0.00614319898	0.0489271172	0	0	0	0	3
180	672	0	2.051404	1.62621699	1.62875662	1.62621699	1.63246554	0.0062485503	0.0489271172	0	0	0	0	3
181	676	0	2.06280069	1.62714592	1.6286566	1.62621699	1.63246554	0.0062485503	0.0489271172	0	0	0	0	3
182	679	0	2.07419738	1.62703372	1.62856517	1.62621699	1.63246554	0.0062485503	0.0489271172	0	0	0	0	3
183	682	0	2.08559407	1.62655583	1.62843086	1.62621699	1.63201519	0.00579820042	0.0489271172	0	0	0	0	3
184	685	0	2.09699075	1.62748898	1.62832799	1.62621699	1.63154989	0.00533289726	0.0489271172	0	0	0	0	3
185	688	0	2.10838744	1.62784152	1.62825039	1.62621699	1.63154989	0.00533289726	0.0489271172	0	0	0	0	3
186	691	0	2.11978413	1.62799757	1.6281858	1.62621699	1.63154989	0.00533289726	0.0489271172	0	0	0	0	3
187	694	0	2.13118082	1.62950736	1.62813937	1.62621699	1.63065743	0.00444043929	0.0489271172	0	0	0	0	3
