Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
58	224	0	0.661007955	14.2146129	14.1430206	13.6919789	14.5004641	0.808485208	0	0	0	0	0	3
59	227	0	0.672404644	14.1925036	14.1413588	13.6919789	14.5004641	0.808485208	0	0	0	0	0	3
60	230	0	0.683801333	14.1684159	14.1414791	13.6919789	14.5004641	0.808485208	0	0	0	0	0	3
61	295	0	0.695198022	14.1409835	14.1430495	13.6919789	14.5004641	0.808485208	0	0	0	0	0	3
62	298	0	0.706594711	14.1281495	14.1459746	13.6919789	14.5004641	0.808485208	0	0	0	0	0	3
63	302	0	0.7179914	14.0963446	14.149464	13.6919789	14.5004641	0.808485208	0	0	0	0	0	3
64	305	0	0.729388088	14.0983985	14.1542827	13.6919789	14.5004641	0.808485208	0	0	0	0	0	3
65	308	0	0.740784777	14.0559791	14.1592632	13.6919789	14.5004641	0.808485208	0	0	0	0	0	3
66	311	0	0.752181466	14.0561139	14.1654041	13.6919789	14.5004641	0.808485208	0	0	0	0	0	3
67	314	0	0.763578155	14.0034139	14.1706482	13.6919789	14.5004641	0.808485208	0	0	0	0	0	3
68	317	0	0.774974844	14.0010844	14.1769355	13.6919789	14.5004641	0.808485208	0	0	0	0	0	3
69	320	0	0.786371533	13.9541686	14.1828944	13.7095924	14.5004641	0.790871684	0	0	0	0	0	3
70	323	0	0.797768222	13.9350783	14.188019	13.7529959	14.5004641	0.747468271	0	0	0	0	0	3
71	325	0	0.809164911	13.9162831	14.1914247	13.7529959	14.5004641	0.747468271	0	0	0	0	0	3
72	328	0	0.820561599	13.9034751	14.1948447	13.7923837	14.5004641	0.708080384	0	0	0	0	0	3
73	331	0	0.831958288	13.9093655	14.1975034	13.8506373	14.5004641	0.64982681	0	0	0	0	0	3
74	334	0	0.843354977	13.8822336	14.1982215	13.8822336	14.5004641	0.618230502	0	0	0	0	0	3
75	338	0	0.854751666	13.8822393	14.1974694	13.8822336	14.5004641	0.618230502	0	0	0	0	0	3
76	342	0	0.866148355	13.8743507	14.1962497	13.8743507	14.5004641	0.626113441	0	0	0	0	0	3
77	345	0	0.877545044	13.8758058	14.1939693	13.8743507	14.5004641	0.626113441	0	0	0	0	0	3
78	348	0	0.888941733	13.8782768	14.1899006	13.8743507	14.5004641	0.626113441	0	0	0	0	0	3
79	352	0	0.900338422	13.8716201	14.1842808	13.8716201	14.5004641	0.628844024	0	0	0	0	0	3
80	356	0	0.911735111	13.8507853	14.1769266	13.8507853	14.5004641	0.649678853	0	0	0	0	0	3
81	360	0	0.923131799	13.8414299	14.168496	13.8414299	14.5004641	0.659034233	0	0	0	0	0	3
82	363	0	0.934528488	13.8341293	14.1586964	13.8341293	14.5004641	0.666334865	0	0	0	0	0	3
83	367	0	0.945925177	13.8204904	14.1474244	13.8204904	14.5004641	0.679973677	0	0	0	0	0	3
84	370	0	0.957321866	13.821084	14.1349099	13.8204904	14.5004641	0.679973677	0	0	0	0	0	3
85	374	0	0.968718555	13.800017	14.1207114	13.800017	14.5004641	0.700447089	0	0	0	0	0	3
86	377	0	0.980115244	13.8094637	14.1054928	13.800017	14.5004641	0.700447089	0	0	0	0	0	3
87	381	0	0.991511933	13.7870822	14.0893897	13.7870822	14.5004641	0.713381929	0	0	0	0	0	3
88	385	0	1.00290862	13.774793	14.0728972	13.774793	14.4933838	0.718590793	0.281850754	0	0	0	0	3
89	389	0	1.01430531	13.7532735	14.0560765	13.7532735	14.4896933	0.736419809	0.281850754	0	0	0	0	3
90	392	0	1.025702	13.7489587	14.0392416	13.7489587	14.4500728	0.701114089	0.281850754	0	0	0	0	3
91	395	0	1.03709869	13.7330824	14.0229464	13.7330824	14.4381488	0.70506634	0.281850754	0	0	0	0	3
92	398	0	1.04849538	13.7349919	14.0069656	13.7330824	14.4002295	0.667147036	0.281850754	0	0	0	0	3
93	401	0	1.05989207	13.7178824	13.9914577	13.7178824	14.3810747	0.66319229	0.281850754	0	0	0	0	3
94	404	0	1.07128875	13.7180238	13.9768323	13.7178824	14.3810747	0.66319229	0.281850754	0	0	0	0	3
95	407	0	1.08268544	13.701862	13.9613956	13.701862	14.3489448	0.486849211	0.281850754	0	0	0	0	3
96	410	0	1.09408213	13.7171212	13.947036	13.701862	14.3386828	0.277908529	0.281850754	0	0	0	0	3
97	413	0	1.10547882	13.6760805	13.9319769	13.6760805	14.315787	0.266244642	0.281850754	0	0	0	0	3
98	414	0	1.11687551	13.6934387	13.9178326	13.6760805	14.2948495	0.280388921	0.281850754	0	0	0	0	3
99	417	0	1.1282722	13.6681992	13.9035905	13.6681992	14.2769548	0.294630973	0.281850754	0	0	0	0	3
100	419	0	1.13966889	13.6783459	13.8899858	13.6681992	14.2399424	0.308235722	0.281850754	0	0	0	0	3
101	422	0	1.15106558	13.6528671	13.8766432	13.6528671	14.2146129	0.321578343	0.281850754	0	0	0	0	3
102	424	0	1.16246227	13.6535797	13.8638924	13.6528671	14.1925036	0.334329098	0.281850754	0	0	0	0	3
103	430	0	1.17385895	13.6220494	13.8509275	13.6220494	14.1684159	0.347293967	0.281850754	0	0	0	0	3
104	432	0	1.18525564	13.6339773	13.8387812	13.6220494	14.1409835	0.359440299	0.281850754	0	0	0	0	3
105	436	0	1.19665233	13.6094935	13.8267019	13.6094935	14.1281495	0.371519617	0.281850754	0	0	0	0	3
