Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	302	0	0.7179914	101328.943	101328.591	101327.348	101328.954	0.45729235	0	0	0	0	0	3
64	305	0	0.729388088	101328.944	101328.627	101327.387	101328.954	0.390324235	0	0	0	0	0	3
65	308	0	0.740784777	101328.944	101328.663	101327.444	101328.954	0.332026471	0	0	0	0	0	3
66	311	0	0.752181466	101328.94	101328.697	101327.526	101328.954	0.360620403	0	0	0	0	0	3
67	314	0	0.763578155	101328.944	101328.729	101327.612	101328.954	0.392849189	0	0	0	0	0	3
68	317	0	0.774974844	101328.939	101328.759	101327.693	101328.954	0.423012267	0	0	0	0	0	3
69	320	0	0.786371533	101328.943	101328.788	101327.837	101328.954	0.451421428	0	0	0	0	0	3
70	323	0	0.797768222	101328.949	101328.813	101327.969	101328.954	0.47670129	0	0	0	0	0	3
71	325	0	0.809164911	101328.95	101328.835	101328.087	101328.954	0.498999853	0	0	0	0	0	3
72	328	0	0.820561599	101328.952	101328.855	101328.209	101328.954	0.518643779	0	0	0	0	0	3
73	331	0	0.831958288	101328.954	101328.872	101328.28	101328.954	0.535582227	0	0	0	0	0	3
74	334	0	0.843354977	101328.953	101328.887	101328.382	101328.954	0.550879079	0	0	0	0	0	3
75	338	0	0.854751666	101328.954	101328.9	101328.479	101328.954	0.47576376	0	0	0	0	0	3
76	342	0	0.866148355	101328.953	101328.911	101328.574	101328.954	0.380837033	0	0	0	0	0	3
77	345	0	0.877545044	101328.954	101328.919	101328.647	101328.954	0.307844526	0	0	0	0	0	3
78	348	0	0.888941733	101328.954	101328.926	101328.716	101328.954	0.238646983	0	0	0	0	0	3
79	352	0	0.900338422	101328.955	101328.932	101328.822	101328.955	0.132362753	0	0	0	0	0	3
80	356	0	0.911735111	101328.953	101328.935	101328.844	101328.955	0.110732012	0	0	0	0	0	3
81	360	0	0.923131799	101328.955	101328.937	101328.891	101328.955	0.0643473929	0	0	0	0	0	3
82	363	0	0.934528488	101328.953	101328.938	101328.891	101328.955	0.0643473929	0	0	0	0	0	3
83	367	0	0.945925177	101328.951	101328.939	101328.891	101328.955	0.0643473929	0	0	0	0	0	3
84	370	0	0.957321866	101328.95	101328.938	101328.891	101328.955	0.0643473929	0	0	0	0	0	3
85	374	0	0.968718555	101328.949	101328.938	101328.891	101328.955	0.0643473929	0	0	0	0	0	3
86	377	0	0.980115244	101328.947	101328.938	101328.891	101328.955	0.0643473929	0	0	0	0	0	3
87	381	0	0.991511933	101328.943	101328.939	101328.891	101328.955	0.0643473929	0	0	0	0	0	3
88	385	0	1.00290862	101328.941	101328.939	101328.891	101328.955	0.0643473929	0.0883363954	0	100	0	0	3
89	389	0	1.01430531	101328.942	101328.94	101328.891	101328.955	0.0643473929	0.0883363954	0	100	0	0	3
90	392	0	1.025702	101328.942	101328.941	101328.896	101328.955	0.0587825815	0.0883363954	0	100	0	0	3
91	395	0	1.03709869	101328.943	101328.943	101328.906	101328.955	0.0490860517	0.0883363954	0	100	0	0	3
92	398	0	1.04849538	101328.939	101328.943	101328.914	101328.955	0.0406381893	0.0883363954	0	100	0	0	3
93	401	0	1.05989207	101328.94	101328.944	101328.924	101328.955	0.0310350373	0.0883363954	0	100	0	0	3
94	404	0	1.07128875	101328.937	101328.944	101328.925	101328.955	0.029675326	0.0883363954	0	100	0	0	3
95	407	0	1.08268544	101328.938	101328.944	101328.928	101328.955	0.027266965	0.0883363954	0	100	0	0	3
96	410	0	1.09408213	101328.934	101328.945	101328.928	101328.955	0.027266965	0.0883363954	0	100	0	0	3
97	413	0	1.10547882	101328.934	101328.945	101328.931	101328.955	0.0236402667	0.0883363954	0	100	0	0	3
98	414	0	1.11687551	101328.934	101328.945	101328.931	101328.955	0.0236402667	0.0883363954	0	100	0	0	3
