Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	302	0	0.7179914	101327.256	101327.086	101326.516	101327.3	0.783515202	0	0	0	0	0	3
64	305	0	0.729388088	101327.259	101327.102	101326.516	101327.3	0.783515202	0	0	0	0	0	3
65	308	0	0.740784777	101327.264	101327.119	101326.517	101327.3	0.782716791	0	0	0	0	0	3
66	311	0	0.752181466	101327.265	101327.136	101326.547	101327.3	0.75254935	0	0	0	0	0	3
67	314	0	0.763578155	101327.269	101327.153	101326.586	101327.3	0.713857427	0	0	0	0	0	3
68	317	0	0.774974844	101327.267	101327.168	101326.623	101327.3	0.677144585	0	0	0	0	0	3
69	320	0	0.786371533	101327.275	101327.183	101326.705	101327.3	0.594716524	0	0	0	0	0	3
70	323	0	0.797768222	101327.281	101327.196	101326.784	101327.3	0.516018748	0	0	0	0	0	3
71	325	0	0.809164911	101327.284	101327.207	101326.853	101327.3	0.44671948	0	0	0	0	0	3
72	328	0	0.820561599	101327.286	101327.217	101326.929	101327.3	0.370646841	0	0	0	0	0	3
73	331	0	0.831958288	101327.289	101327.225	101326.959	101327.3	0.340335544	0	0	0	0	0	3
74	334	0	0.843354977	101327.287	101327.233	101327.006	101327.3	0.293921491	0	0	0	0	0	3
75	338	0	0.854751666	101327.288	101327.239	101327.054	101327.3	0.24528333	0	0	0	0	0	3
76	342	0	0.866148355	101327.286	101327.245	101327.109	101327.3	0.190769412	0	0	0	0	0	3
77	345	0	0.877545044	101327.287	101327.249	101327.147	101327.3	0.152269494	0	0	0	0	0	3
78	348	0	0.888941733	101327.287	101327.252	101327.184	101327.3	0.115550701	0	0	0	0	0	3
79	352	0	0.900338422	101327.289	101327.254	101327.207	101327.3	0.0931618299	0	0	0	0	0	3
80	356	0	0.911735111	101327.287	101327.255	101327.207	101327.3	0.0931618299	0	0	0	0	0	3
81	360	0	0.923131799	101327.292	101327.256	101327.207	101327.3	0.0931618299	0	0	0	0	0	3
82	363	0	0.934528488	101327.29	101327.256	101327.207	101327.3	0.0931618299	0	0	0	0	0	3
83	367	0	0.945925177	101327.29	101327.256	101327.207	101327.294	0.0878509496	0	0	0	0	0	3
84	370	0	0.957321866	101327.291	101327.256	101327.207	101327.292	0.0853139023	0	0	0	0	0	3
85	374	0	0.968718555	101327.289	101327.256	101327.207	101327.292	0.0853139023	0	0	0	0	0	3
86	377	0	0.980115244	101327.288	101327.257	101327.207	101327.292	0.0853139023	0	0	0	0	0	3
87	381	0	0.991511933	101327.286	101327.258	101327.207	101327.292	0.0853139023	0	0	0	0	0	3
88	385	0	1.00290862	101327.284	101327.259	101327.207	101327.292	0.0853139023	0.110923805	0	0	0	0	3
89	389	0	1.01430531	101327.285	101327.26	101327.207	101327.292	0.0853139023	0.110923805	0	0	0	0	3
90	392	0	1.025702	101327.287	101327.262	101327.207	101327.292	0.0845669174	0.110923805	0	0	0	0	3
91	395	0	1.03709869	101327.288	101327.264	101327.212	101327.292	0.079671364	0.110923805	0	0	0	0	3
92	398	0	1.04849538	101327.286	101327.265	101327.215	101327.292	0.0769277899	0.110923805	0	0	0	0	3
