Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
55	216	0	0.626817889	311.967178	306.748894	300.991966	311.967178	9.83373242	0	0	0	0	0	3
56	219	0	0.638214577	312.128573	307.001999	301.28159	312.128573	9.75095804	0	0	0	0	0	3
57	222	0	0.649611266	312.28055	307.251975	301.48614	312.28055	9.69842734	0	0	0	0	0	3
58	224	0	0.661007955	312.426321	307.500616	301.689133	312.426321	9.67136212	0	0	0	0	0	3
59	227	0	0.672404644	312.563068	307.74775	301.999386	312.563068	9.65786369	0	0	0	0	0	3
60	230	0	0.683801333	312.695432	307.990842	302.264955	312.695432	9.65536338	0	0	0	0	0	3
61	295	0	0.695198022	312.819468	308.230718	302.518187	312.819468	9.662866	0	0	0	0	0	3
62	298	0	0.706594711	312.944247	308.467674	302.749582	312.944247	9.67973086	0	0	0	0	0	3
63	302	0	0.7179914	313.062659	308.702062	302.961211	313.062659	9.70545558	0	0	0	0	0	3
64	305	0	0.729388088	313.182427	308.934362	303.299263	313.182427	9.73286753	0	0	0	0	0	3
65	308	0	0.740784777	313.308494	309.161845	303.594928	313.308494	9.71356645	0	0	0	0	0	3
66	311	0	0.752181466	313.414165	309.385009	303.871614	313.414165	9.542551	0	0	0	0	0	3
67	314	0	0.763578155	313.516318	309.604207	304.139683	313.516318	9.37663509	0	0	0	0	0	3
68	317	0	0.774974844	313.612937	309.819508	304.395617	313.612937	9.21731965	0	0	0	0	0	3
69	320	0	0.786371533	313.702615	310.031031	304.77541	313.702615	8.92720521	0	0	0	0	0	3
70	323	0	0.797768222	313.791213	310.235935	305.098936	313.791213	8.69227709	0	0	0	0	0	3
71	325	0	0.809164911	313.878447	310.43547	305.399575	313.878447	8.47887229	0	0	0	0	0	3
72	328	0	0.820561599	313.970153	310.630256	305.684071	313.970153	8.286082	0	0	0	0	0	3
73	331	0	0.831958288	314.051614	310.820427	305.941679	314.051614	8.10993488	0	0	0	0	0	3
74	334	0	0.843354977	314.1375	311.006696	306.295569	314.1375	7.84193143	0	0	0	0	0	3
75	338	0	0.854751666	314.215879	311.186703	306.597787	314.215879	7.61809246	0	0	0	0	0	3
76	342	0	0.866148355	314.296463	311.361673	306.878842	314.296463	7.4176205	0	0	0	0	0	3
77	345	0	0.877545044	314.367513	311.53187	307.137526	314.367513	7.22998728	0	0	0	0	0	3
78	348	0	0.888941733	314.442976	311.697903	307.35893	314.442976	7.08404517	0	0	0	0	0	3
79	352	0	0.900338422	314.515385	311.860549	307.649645	314.515385	6.86574058	0	0	0	0	0	3
80	356	0	0.911735111	314.592026	312.018331	307.897286	314.592026	6.69474084	0	0	0	0	0	3
81	360	0	0.923131799	314.656853	312.171957	308.133644	314.656853	6.52320902	0	0	0	0	0	3
82	363	0	0.934528488	314.731848	312.321916	308.367331	314.731848	6.36451717	0	0	0	0	0	3
83	367	0	0.945925177	314.807037	312.468273	308.575918	314.807037	6.2311184	0	0	0	0	0	3
84	370	0	0.957321866	314.873511	312.611401	308.864952	314.873511	6.00855904	0	0	0	0	0	3
85	374	0	0.968718555	314.949532	312.749686	309.143697	314.949532	5.80583467	0	0	0	0	0	3
86	377	0	0.980115244	315.012925	312.883078	309.383177	315.012925	5.62974849	0	0	0	0	0	3
87	381	0	0.991511933	315.083025	313.01262	309.648976	315.083025	5.43404953	0	0	0	0	0	3
88	385	0	1.00290862	315.146602	313.137566	309.890988	315.146602	5.25561349	0.570606346	0	0	0	0	3
89	389	0	1.01430531	315.210743	313.25847	310.117579	315.210743	5.0931647	0.5725306	0	0	0	0	3
90	392	0	1.025702	315.283975	313.375888	310.355605	315.283975	4.92837004	0.573629077	0	0	0	0	3
91	395	0	1.03709869	315.34573	313.4893	310.574304	315.34573	4.7714265	0.574495927	0	0	0	0	3
92	398	0	1.04849538	315.394998	313.598861	310.815142	315.394998	4.57985667	0.575174231	0	0	0	0	3
93	401	0	1.05989207	315.455111	313.704315	311.044003	315.455111	4.41110765	0.575798589	0	0	0	0	3
94	404	0	1.07128875	315.502973	313.805655	311.247224	315.502973	4.2557495	0.576282929	0	0	0	0	3
95	407	0	1.08268544	315.554624	313.90355	311.437071	315.554624	4.11755241	0.576642953	0	0	0	0	3
96	410	0	1.09408213	315.617129	313.998552	311.623254	315.617129	3.99387494	0.576896906	0	0	0	0	3
97	413	0	1.10547882	315.658768	314.090268	311.802783	315.658768	3.85598479	0.576935633	0	0	0	0	3
98	414	0	1.11687551	315.706758	314.178995	311.967178	315.706758	3.73958008	0.570606346	0	0	0	0	3
99	417	0	1.1282722	315.745193	314.264859	312.128573	315.745193	3.61662067	0.570606346	0	0	0	0	3
100	419	0	1.13966889	315.801231	314.348328	312.28055	315.801231	3.52068088	0.570606346	0	0	0	0	3
101	422	0	1.15106558	315.838165	314.429183	312.426321	315.838165	3.41184343	0.570606346	0	0	0	0	3
102	424	0	1.16246227	315.882275	314.507727	312.563068	315.882275	3.31920787	0.570606346	0	0	0	0	3
103	430	0	1.17385895	315.917239	314.583959	312.695432	315.917239	3.22180664	0.570606346	0	0	0	0	3
104	432	0	1.18525564	315.950809	314.657944	312.819468	315.950809	3.13134158	0.570606346	0	0	0	0	3
105	436	0	1.19665233	315.986663	314.729926	312.944247	315.986663	3.04241641	0.570606346	0	0	0	0	3
106	439	0	1.20804902	316.021707	314.799868	313.062659	316.021707	2.95904775	0.570606346	0	0	0	0	3
107	443	0	1.21944571	316.051462	314.867796	313.182427	316.051462	2.86903561	0.570606346	0	0	0	0	3
108	447	0	1.2308424	316.091832	314.933919	313.308494	316.091832	2.78333824	0.570606346	0	0	0	0	3
109	450	0	1.24223909	316.127463	314.997986	313.414165	316.127463	2.71329749	0.570606346	0	0	0	0	3
110	454	0	1.25363578	316.158971	315.060368	313.516318	316.158971	2.64265272	0.570606346	0	0	0	0	3
111	457	0	1.26503247	316.188892	315.121108	313.612937	316.188892	2.57595516	0.570606346	0	0	0	0	3
112	460	0	1.27642915	316.220235	315.180365	313.702615	316.220235	2.51761999	0.570606346	0	0	0	0	3
113	463	0	1.28782584	316.251843	315.238302	313.791213	316.251843	2.46063025	0.570606346	0	0	0	0	3
114	466	0	1.29922253	316.284199	315.294961	313.878447	316.284199	2.40575189	0.570606346	0	0	0	0	3
115	470	0	1.31061922	316.315203	315.350342	313.970153	316.315203	2.3450504	0.570606346	0	0	0	0	3
116	473	0	1.32201591	316.342579	315.40426	314.051614	316.342579	2.29096502	0.570606346	0	0	0	0	3
117	477	0	1.3334126	316.371153	315.456977	314.1375	316.371153	2.23365347	0.570606346	0	0	0	0	3
118	481	0	1.34480929	316.398484	315.508363	314.215879	316.398484	2.18260451	0.570606346	0	0	0	0	3
119	484	0	1.35620598	316.422398	315.558511	314.296463	316.422398	2.12593502	0.570606346	0	0	0	0	3
120	487	0	1.36760267	316.447304	315.607394	314.367513	316.447304	2.07979075	0.570606346	0	0	0	0	3
121	490	0	1.37899935	316.449681	315.654716	314.442976	316.449681	2.00670543	0.570606346	0	0	0	0	3
122	493	0	1.39039604	316.49429	315.701337	314.515385	316.49429	1.97890488	0.570606346	0	0	0	0	3
123	496	0	1.40179273	316.499775	315.746437	314.592026	316.499775	1.90774875	0.570606346	0	0	0	0	3
124	499	0	1.41318942	316.540866	315.790729	314.656853	316.540866	1.8840128	0.570606346	0	0	0	0	3
125	502	0	1.42458611	316.541236	315.833555	314.731848	316.541236	1.80938827	0.570606346	0	0	0	0	3
126	505	0	1.4359828	316.577815	315.875509	314.807037	316.577815	1.77077798	0.570606346	0	0	0	0	3
127	508	0	1.44737949	316.581787	315.915844	314.873511	316.581787	1.70827612	0.570606346	0	0	0	0	3
128	511	0	1.45877618	316.616895	315.955467	314.949532	316.616895	1.66736366	0.570606346	0	0	0	0	3
129	514	0	1.47017287	316.617659	315.993379	315.012925	316.617659	1.60473363	0.570606346	0	0	0	0	3
130	517	0	1.48156955	316.650906	316.030606	315.083025	316.650906	1.56788051	0.570606346	0	0	0	0	3
131	521	0	1.49296624	316.676322	316.066817	315.146602	316.676322	1.52972039	0.570606346	0	0	0	0	3
132	524	0	1.50436293	316.697634	316.102068	315.210743	316.697634	1.48689089	0.570606346	0	0	0	0	3
133	527	0	1.51575962	316.715374	316.136264	315.283975	316.715374	1.43139855	0.570606346	0	0	0	0	3
134	530	0	1.52715631	316.735922	316.169263	315.34573	316.735922	1.39019152	0.570606346	0	0	0	0	3
135	533	0	1.538553	316.750192	316.201182	315.394998	316.750192	1.35519374	0.570606346	0	0	0	0	3
136	536	0	1.54994969	316.768987	316.232409	315.455111	316.768987	1.31387586	0.570606346	0	0	0	0	3
137	539	0	1.56134638	316.7852	316.262638	315.502973	316.7852	1.28222707	0.570606346	0	0	0	0	3
138	543	0	1.57274307	316.801723	316.292156	315.554624	316.801723	1.24709934	0.570606346	0	0	0	0	3
139	546	0	1.58413975	316.802398	316.320514	315.617129	316.802398	1.18526959	0.570606346	0	0	0	0	3
140	549	0	1.59553644	316.84225	316.348358	315.658768	316.84225	1.18348259	0.570606346	0	0	0	0	3
141	552	0	1.60693313	316.859899	316.375656	315.706758	316.859899	1.15314147	0.570606346	0	0	0	0	3
142	555	0	1.61832982	316.883605	316.402403	315.745193	316.883605	1.13841195	0.570606346	0	0	0	0	3
143	558	0	1.62972651	316.899138	316.428629	315.801231	316.899138	1.09790721	0.570606346	0	0	0	0	3
144	561	0	1.6411232	316.913014	316.453897	315.838165	316.913014	1.07484954	0.570606346	0	0	0	0	3
145	564	0	1.65251989	316.926359	316.478628	315.882275	316.926359	1.04408374	0.570606346	0	0	0	0	3
146	567	0	1.66391658	316.942687	316.502728	315.917239	316.942687	1.02544845	0.570606346	0	0	0	0	3
147	570	0	1.67531327	316.958903	316.526403	315.950809	316.958903	1.0080935	0.570606346	0	0	0	0	3
148	574	0	1.68670995	316.973104	316.549637	315.986663	316.973104	0.986440756	0.570606346	0	0	0	0	3
