
Study name:Nonlinear 1
Plot type: Reaction force
01:02, Tuesday, April 28, 2026


X Title: Time (sec)
Y Title: Reaction force(N)

Point, X, Y1 (Sum X:(Selection)), Y2 (Sum Y:(Selection)), Y3 (Sum Z:(Selection)), Y4 (Resultant:(Selection)), Y5 (Sum X:(Entire Model)), Y6 (Sum Y:(Entire Model)), Y7 (Sum Z:(Entire Model)), Y8 (Resultant:(Entire Model))
61, 0.0488      ,0,0,0,1E-33,111.38      ,-91.811     ,-370.84     ,397.94      ,
62, 0.0496      ,0,0,0,1E-33,-106.17     ,139.49      ,10.169      ,175.6       ,
63, 0.0504      ,0,0,0,1E-33,46.005      ,-183.31     ,-559.22     ,590.29      ,
64, 0.0512      ,0,0,0,1E-33,64.853      ,222.23      ,-526.84     ,575.46      ,
65, 0.052       ,0,0,0,1E-33,-192.32     ,-254.86     ,143.67      ,350.12      ,
66, 0.0528      ,0,0,0,1E-33,194.53      ,281.45      ,-621.65     ,709.58      ,
67, 0.0536      ,0,0,0,1E-33,49.706      ,-298.28     ,-781.4      ,837.87      ,
68, 0.0544      ,0,0,0,1E-33,-363.12     ,309.89      ,218.31      ,524.92      ,
69, 0.0552      ,0,0,0,1E-33,376.28      ,-311.9      ,-551.84     ,737.15      ,
70, 0.056       ,0,0,0,1E-33,-57.57      ,307.5       ,-896.51     ,949.53      ,
71, 0.0568      ,0,0,0,1E-33,-210.02     ,-293.66     ,132.17      ,384.47      ,
72, 0.0576      ,0,0,0,1E-33,149.92      ,272.48      ,-75.948     ,320.14      ,
73, 0.0584      ,0,0,0,1E-33,49.064      ,-243.49     ,-1107.9     ,1135.4      ,
74, 0.0592      ,0,0,0,1E-33,-47.495     ,208.54      ,-203.78     ,295.41      ,
75, 0.06        ,0,0,0,1E-33,-124.2      ,-167.12     ,184.4       ,278.13      ,
76, 0.0608      ,0,0,0,1E-33,175.98      ,122.63      ,-994.43     ,1017.3      ,
77, 0.0616      ,0,0,0,1E-33,-30.332     ,-70.996     ,-706.44     ,710.65      ,
78, 0.0624      ,0,0,0,1E-33,-115.71     ,20.638      ,225.93      ,254.68      ,
79, 0.0632      ,0,0,0,1E-33,127.61      ,31.659      ,-769.74     ,780.89      ,
80, 0.064       ,0,0,0,1E-33,-94.102     ,-81.125     ,-789.79     ,799.5       ,
81, 0.0648      ,0,0,0,1E-33,62.065      ,129.33      ,208.62      ,253.18      ,
82, 0.0656      ,0,0,0,1E-33,63.177      ,-173.23     ,-618.92     ,645.8       ,
83, 0.0664      ,0,0,0,1E-33,-240.02     ,212.31      ,-667.02     ,740,
84, 0.0672      ,0,0,0,1E-33,241.06      ,-244.85     ,-238.51     ,418.27      ,
85, 0.068       ,0,0,0,1E-33,2.7459      ,271.77      ,-454.4      ,529.48      ,
86, 0.0688      ,0,0,0,1E-33,-171.28     ,-288.91     ,-627.17     ,711.44      ,
87, 0.0696      ,0,0,0,1E-33,-20.47      ,301.71      ,-355.06     ,466.38      ,
88, 0.0704      ,0,0,0,1E-33,345.31      ,-302.23     ,-867.7      ,981.57      ,
89, 0.0712      ,0,0,0,1E-33,-366.38     ,297.95      ,-262.28     ,540.18      ,
90, 0.072       ,0,0,0,1E-33,4.9453      ,-284.44     ,-207.86     ,352.32      ,
91, 0.0728      ,0,0,0,1E-33,361.79      ,263.9       ,-777.18     ,896.96      ,
92, 0.0736      ,0,0,0,1E-33,-371.7      ,-235.56     ,-760.5      ,878.64      ,
93, 0.0744      ,0,0,0,1E-33,91.982      ,200.74      ,230.22      ,318.99      ,
94, 0.0752      ,0,0,0,1E-33,139.01      ,-159.35     ,-745.97     ,775.37      ,
95, 0.076       ,0,0,0,1E-33,-88.704     ,116.55      ,-1224.6     ,1233.4      ,
96, 0.0768      ,0,0,0,1E-33,-139.56     ,-66.001     ,335.01      ,368.87      ,
97, 0.0776      ,0,0,0,1E-33,225.21      ,16.566      ,-690.91     ,726.88      ,
98, 0.0784      ,0,0,0,1E-33,-16.618     ,38.13       ,-1441,1441.6      ,
99, 0.0792      ,0,0,0,1E-33,-295.74     ,-87.481     ,261.39      ,404.28      ,
100, 0.08        ,0,0,0,1E-33,383.77      ,135.73      ,-116.04     ,423.28      ,
