
Study name:Nonlinear 1
Plot type: Contact/Friction force
00:46, Tuesday, April 28, 2026


X Title: Time (sec)
Y Title: Contact/Friction force(N)

Point, X, Y1 (Sum X:(Selection)), Y2 (Sum Y:(Selection)), Y3 (Sum Z:(Selection)), Y4 (Resultant:(Selection)), Y5 (Sum X:(Entire Model)), Y6 (Sum Y:(Entire Model)), Y7 (Sum Z:(Entire Model)), Y8 (Resultant:(Entire Model))
38, 0.0304      ,-0.059721   ,0.0023654   ,-1.3642     ,1.3655      ,-1.2088E-14 ,7.9469E-18  ,-2.6978E-14 ,2.9563E-14  ,
39, 0.0312      ,-1.4401     ,0.0030696   ,-4.3028     ,4.5374      ,-2.0983E-14 ,4.3165E-18  ,1.1907E-14  ,2.4126E-14  ,
40, 0.032       ,-9.5164     ,0.0033433   ,-4.6604     ,10.596      ,8.8818E-16  ,1.1699E-17  ,-1.5682E-15 ,1.8023E-15  ,
41, 0.0328      ,-12.671     ,-0.0010018  ,16.864      ,21.094      ,-6.9666E-15 ,-6.0377E-18 ,2.659E-14   ,2.7487E-14  ,
42, 0.0336      ,-12.906     ,-0.0012942  ,16.867      ,21.238      ,2.999E-14   ,-2.8257E-18 ,1.2733E-14  ,3.2581E-14  ,
43, 0.0344      ,-13.506     ,-0.0030903  ,24.014      ,27.552      ,1.1602E-14  ,-4.6079E-19 ,-4.3299E-15 ,1.2383E-14  ,
44, 0.0352      ,-3.9368     ,-0.0073576  ,43.371      ,43.549      ,-2.6058E-14 ,6.9283E-18  ,2.3827E-14  ,3.531E-14   ,
45, 0.036       ,-12.703     ,-0.003555   ,29.467      ,32.089      ,2.8005E-14  ,-2.1718E-18 ,-3.5388E-15 ,2.8228E-14  ,
46, 0.0368      ,-9.3165     ,-0.0018464  ,22.885      ,24.709      ,5.4991E-15  ,4.1369E-18  ,-9.3155E-16 ,5.5774E-15  ,
47, 0.0376      ,-8.2982     ,-0.00054399 ,14.359      ,16.584      ,-1.3933E-14 ,1.6263E-19  ,2.9976E-15  ,1.4252E-14  ,
48, 0.0384      ,-8.5        ,0.00023832  ,7.6054      ,11.406      ,-6.9389E-15 ,-1.2943E-18 ,1.7486E-14  ,1.8812E-14  ,
49, 0.0392      ,-0.93671    ,0.00043539  ,0.46828     ,1.0472      ,-2.1094E-14 ,5.5227E-19  ,-1.0436E-14 ,2.3535E-14  ,
50, 0.04        ,3.7763      ,-60.457     ,-75.771     ,97.008      ,-1.193E-15  ,-1.0214E-14 ,2.0216E-14  ,2.2682E-14  ,
51, 0.0408      ,7.4111      ,-0.063364   ,82.593      ,82.925      ,3.0531E-15  ,6.489E-17   ,4.835E-14   ,4.8447E-14  ,
52, 0.0416      ,10.007      ,-0.47183    ,540.02      ,540.11      ,4.9746E-14  ,5.5503E-17  ,1.6432E-13  ,1.7168E-13  ,
53, 0.0424      ,13.762      ,-0.38544    ,542.76      ,542.93      ,-3.5528E-14 ,9.1069E-18  ,2.1316E-14  ,4.1432E-14  ,
54, 0.0432      ,13.813      ,0.056332    ,-77.513     ,78.734      ,-2.8423E-14 ,-4.112E-17  ,5.3374E-14  ,6.047E-14   ,
55, 0.044       ,10.181      ,-56.645     ,-137.58     ,149.14      ,1.1662E-15  ,-4.5741E-14 ,8.4919E-15  ,4.6537E-14  ,
56, 0.0448      ,23.08       ,-0.22437    ,527.86      ,528.36      ,-4.0849E-14 ,1.4637E-18  ,-1.5106E-14 ,4.3553E-14  ,
57, 0.0456      ,28.902      ,-0.23798    ,484.15      ,485.01      ,-1.4211E-14 ,4.6485E-18  ,1.0569E-13  ,1.0664E-13  ,
58, 0.0464      ,88.195      ,-0.39221    ,539.94      ,547.1       ,2.221E-14   ,-2.9079E-17 ,6.1989E-14  ,6.5847E-14  ,
59, 0.0472      ,23.665      ,-0.32727    ,590.29      ,590.77      ,4.4673E-14  ,-2.9341E-18 ,1.3364E-14  ,4.6629E-14  ,
60, 0.048       ,0.61454     ,-0.047275   ,140.03      ,140.03      ,-3.9968E-15 ,-1.9082E-17 ,2.1982E-14  ,2.2343E-14  ,
61, 0.0488      ,9.9416      ,0.011022    ,-106.74     ,107.2       ,-5.7371E-14 ,-2.9036E-18 ,-3.0559E-14 ,6.5002E-14  ,
62, 0.0496      ,-45.633     ,-0.02756    ,-130.75     ,138.49      ,7.7494E-14  ,-1.2665E-17 ,-1.9817E-14 ,7.9987E-14  ,
63, 0.0504      ,-18.238     ,0.021872    ,-165.89     ,166.89      ,-2.609E-14  ,2.3819E-18  ,6.2894E-14  ,6.8091E-14  ,
64, 0.0512      ,9.347       ,0.023163    ,-178.53     ,178.77      ,-4.4298E-14 ,-1.7754E-18 ,-9.77E-15   ,4.5362E-14  ,
65, 0.052       ,-51.163     ,-0.028593   ,227.07      ,232.76      ,1.3822E-14  ,-3.9133E-18 ,3.6186E-14  ,3.8736E-14  ,
66, 0.0528      ,22.188      ,-0.38977    ,383.91      ,384.55      ,-1.9512E-14 ,-9.1032E-17 ,2.3599E-14  ,3.0621E-14  ,
67, 0.0536      ,25.589      ,-0.35982    ,341.7       ,342.66      ,-2.1478E-14 ,4.0465E-17  ,4.1863E-14  ,4.7051E-14  ,
68, 0.0544      ,11.949      ,-0.30743    ,600.93      ,601.05      ,4.5422E-14  ,1.9895E-17  ,-7.3899E-15 ,4.6019E-14  ,
69, 0.0552      ,33.522      ,-0.25583    ,323.54      ,325.28      ,3.2676E-14  ,-7.7436E-17 ,-1.7709E-14 ,3.7166E-14  ,
70, 0.056       ,-6.3478     ,0.064604    ,-88.938     ,89.164      ,-1.3545E-14 ,-1.0083E-17 ,-2.3426E-14 ,2.706E-14   ,
71, 0.0568      ,-27.072     ,-0.021359   ,-79.715     ,84.187      ,3.1086E-15  ,6.329E-18   ,7.7716E-15  ,8.3702E-15  ,
72, 0.0576      ,-14.722     ,-0.027475   ,-138.91     ,139.69      ,1.3323E-15  ,2.2782E-17  ,9.6034E-15  ,9.6954E-15  ,
73, 0.0584      ,-8.8741     ,0.11898     ,-259.57     ,259.73      ,-2.5147E-14 ,-4.8247E-18 ,2.3939E-14  ,3.4719E-14  ,
74, 0.0592      ,1.9598      ,0.0033762   ,1.1176      ,2.2561      ,3.4799E-14  ,1.6388E-17  ,-2.1157E-14 ,4.0725E-14  ,
75, 0.06        ,-2.94       ,-0.090503   ,364.77      ,364.78      ,1.6189E-14  ,-6.0368E-18 ,2.3396E-14  ,2.8451E-14  ,
76, 0.0608      ,18.018      ,-0.36722    ,266.96      ,267.57      ,3.8136E-14  ,-9.0504E-17 ,-8.6979E-14 ,9.4972E-14  ,
77, 0.0616      ,14.881      ,-0.94396    ,624.32      ,624.49      ,-3.6367E-14 ,-3.7385E-17 ,-2.4983E-14 ,4.4122E-14  ,
78, 0.0624      ,-18.949     ,-0.39591    ,569.43      ,569.75      ,-8.9224E-15 ,5.1785E-18  ,8.8278E-16  ,8.966E-15   ,
79, 0.0632      ,11.489      ,-0.086063   ,102.73      ,103.37      ,-3.1641E-14 ,-3.155E-17  ,9.5479E-15  ,3.3051E-14  ,
80, 0.064       ,-0.91131    ,0.037678    ,-56.423     ,56.43       ,3.1308E-14  ,3.6321E-18  ,2.1205E-14  ,3.7814E-14  ,
81, 0.0648      ,-61.447     ,-0.030699   ,-90.746     ,109.59      ,9.1316E-15  ,-1.0246E-17 ,-3.4264E-14 ,3.546E-14   ,
82, 0.0656      ,18.879      ,-0.02836    ,-299.38     ,299.98      ,-6.8612E-14 ,1.4257E-17  ,-1.9984E-15 ,6.8641E-14  ,
83, 0.0664      ,-20.198     ,0.079077    ,-207.43     ,208.41      ,-5.8203E-14 ,-1.7652E-18 ,-7.0902E-14 ,9.1732E-14  ,
84, 0.0672      ,-48.198     ,-0.12495    ,221.29      ,226.48      ,3.697E-14   ,2.0762E-17  ,-2.4564E-15 ,3.7052E-14  ,
85, 0.068       ,59.17       ,-0.21419    ,243.4       ,250.49      ,-3.1536E-14 ,1.4078E-18  ,-6.2407E-14 ,6.9922E-14  ,
86, 0.0688      ,0.3863      ,-0.67416    ,536.54      ,536.54      ,-1.2559E-15 ,-1.8919E-17 ,8.0505E-14  ,8.0515E-14  ,
87, 0.0696      ,10.91       ,-1.483      ,917.85      ,917.91      ,-2.6255E-14 ,8.1749E-17  ,8.8873E-14  ,9.267E-14   ,
88, 0.0704      ,41.25       ,-0.52851    ,448.07      ,449.97      ,9.1871E-15  ,-1.7578E-17 ,2.9171E-14  ,3.0584E-14  ,
89, 0.0712      ,19.474      ,-0.023622   ,59.377      ,62.489      ,5.6843E-14  ,5.421E-18   ,-3.153E-14  ,6.5003E-14  ,
90, 0.072       ,-24.007     ,-0.0028817  ,49.501      ,55.015      ,-1.435E-14  ,-1.8347E-18 ,5.6899E-15  ,1.5437E-14  ,
91, 0.0728      ,-17.373     ,0.073498    ,-266.08     ,266.65      ,1.6324E-14  ,2.2529E-17  ,5.8932E-14  ,6.1151E-14  ,
92, 0.0736      ,-21.681     ,-0.0053806  ,-303.32     ,304.09      ,6.5281E-14  ,1.4854E-17  ,1.3767E-14  ,6.6717E-14  ,
93, 0.0744      ,-17.945     ,0.014548    ,69.224      ,71.512      ,-1.4655E-14 ,8.1993E-19  ,1.8319E-15  ,1.4769E-14  ,
94, 0.0752      ,-8.4358     ,-0.1265     ,145.16      ,145.41      ,4.5977E-14  ,-1.9922E-18 ,-1.0408E-16 ,4.5977E-14  ,
95, 0.076       ,38.593      ,-0.42019    ,284.98      ,287.58      ,-2.9698E-15 ,4.3124E-17  ,-9.312E-15  ,9.7742E-15  ,
96, 0.0768      ,-2.3815     ,-0.71112    ,926.73      ,926.73      ,-4.5759E-14 ,3.6145E-17  ,2.3621E-14  ,5.1496E-14  ,
97, 0.0776      ,-1.7254     ,-0.93669    ,725.21      ,725.21      ,-1.6709E-14 ,9.5003E-17  ,-1.0729E-13 ,1.0858E-13  ,
98, 0.0784      ,55.754      ,-0.3993     ,252.13      ,258.22      ,-1.1102E-16 ,1.4572E-16  ,5.6066E-15  ,5.6096E-15  ,
99, 0.0792      ,-23.216     ,0.030124    ,193.76      ,195.14      ,1.5099E-14  ,1.4095E-18  ,-4.996E-14  ,5.2192E-14  ,
100, 0.08        ,-29.849     ,-0.015807   ,-132.97     ,136.28      ,-3.0791E-15 ,7.7741E-18  ,-1.3664E-14 ,1.4007E-14  ,
