00:45, Tuesday, April 28, 2026
Study name:Nonlinear 1
Units: N/m^2
Selected reference : N/A
Element  ,X (mm)  ,Y (mm)  ,Z (mm)  ,VON (N/m^2)
2964  ,-98.7104  ,-1.2245  ,-283.44  ,2.07101e+07
6234  ,-108.418  ,8.56105  ,-284.352  ,2.16657e+07
